ID,WEIGHT,LENGTH
20191065,1.375,31.0
20191066,2.85,32.9
20191067,5.5,46.6
20191068,1.3,26.7
20191069,2.0,31.7
20191070,6.05,42.1
20191071,7.75,52.2
20191072,13.62,59.8
20191073,2.485,34.5
20191074,4.85,45.5
20191075,5.75,46.1
20191076,5.25,46.5
20191077,3.74,45.1
20191078,4.06,40.0
20191079,2.185,34.5
20191080,1.58,32.7
20191081,2.125,37.5
20191082,4.13,47.0
20191083,8.55,52.6
20191084,1.825,33.6
20191085,1.0,24.3
20191086,4.325,42.1
20191087,2.63,40.6
20191088,2.755,38.2
20191089,4.15,41.3
20191090,3.45,33.8
20191091,4.975,44.0
20191092,2.85,42.6
20191093,5.055,44.0
20191094,3.625,40.5
20191095,2.625,33.6
20191096,6.125,47.9
20191097,2.25,33.2
20191098,2.445,23.0
20191099,2.54,36.8
20191100,3.5,44.8
20191101,1.86,32.0
20191102,1.81,32.8
20191103,4.04,40.4
20191104,2.75,40.1
20191105,2.485,36.1
20191106,5.24,58.3
20191107,3.525,40.2
20191108,15.1,59.9
20191109,2.8,36.2
20191110,4.645,45.0
20191111,6.0,47.5
20191112,2.27,33.1
20191113,1.3,30.0
20191114,4.25,33.7
20191115,1.07,28.2
20191116,4.68,44.8
20191117,2.3,35.4
20191118,2.73,36.9
20191119,9.925,52.2
20191120,1.005,28.8
20191121,4.7,45.5
20191122,6.625,48.3
20191123,2.875,37.5
20191124,5.3,40.0
20191125,5.45,44.2
20191126,4.465,43.1
20191127,18.4,66.7
20191128,1.0,29.5
20191129,4.17,46.0
20191130,4.25,40.4
20191131,2.425,33.9
20191132,2.25,35.0
20191133,1.465,29.1
20191134,5.25,47.1
20191135,3.25,38.1
20191136,3.25,34.6
20191137,11.875,62.2
20191138,1.57,33.6
20191139,5.28,48.6
20191140,1.65,27.9
20191141,1.895,33.0
20191142,1.05,29.1
20191143,1.325,30.5
20191144,14.25,64.8
20191145,5.65,48.3
20191146,5.855,45.2
20191147,5.625,47.2
20191148,5.37,47.4
20191149,3.97,43.2
20191150,6.225,50.7
20191151,1.695,30.5
20191152,2.75,39.0
20191153,5.5,43.2
20191154,1.625,32.4
20191155,3.125,39.7
20191156,4.125,51.2
20191157,1.26,32.8
20191158,6.265,56.0
